ID	Time
150096333	22:20
150096349	22:20
150096355	19:45
150096361	21:30
150096515	23:06
150096521	23:26
150096537	08:00
150096543	20:00
150041758	12:00
150041764	11:50
150041764	11:50
150041764	11:50
150677864	11:15
150042148	15:30
150681279	04:30
150042405	18:30
150042405	18:30
150042449	14:46
150685077	19:05
150042621	17:16
150689881	10:00
150690612	16:29
150699379	14:05
150042875	21:59
150701968	18:15
150043152	23:10
150043453	01:20
150043469	01:00
150043710	05:00
150043726	05:00
150704752	00:06
150705910	08:50
150043964	07:00
150044398	12:30
150044940	14:12
150044956	14:31
150044956	14:31
150044962	14:10
150045205	13:00
150045205	13:00
150045211	10:30
150045233	13:00
150045415	16:16
150045421	16:42
150045421	16:42
150045738	17:32
150716155	22:35
150045998	16:56
150046037	20:30
150046225	20:12
150716763	20:00
150046510	21:00
150046526	20:21
150717034	18:00
150046770	00:39
150046770	00:39
150046786	20:54
150046786	20:54
150047013	05:45
150047029	05:00
150047336	08:00
150719927	08:30
150721568	17:17
150722516	21:57
150722936	05:00
150047790	12:00
150048566	15:50
150048588	09:30
150048594	14:30
150048594	14:30
150048754	17:00
150049097	12:00
150049100	13:15
150049166	16:55
150049166	16:55
150049445	20:07
150049592	09:15
150049605	18:30
150049859	19:30
150049865	19:30
150050129	01:55
150050129	01:55
150738466	20:10
150050317	03:02
150050323	03:20
150050345	03:42
150050492	04:45
150050834	09:51
150050862	01:00
150747019	10:20
150748813	20:37
150051252	12:10
150051274	16:00
150051280	11:23
150051296	00:45
150051462	12:36
150051666	14:15
150051688	14:08
150051694	12:25
150051707	14:54
150751349	19:30
150051989	16:05
150052294	17:10
150052307	16:00
150052341	17:25
150052357	22:15
150753436	12:30
150052567	17:30
150052567	17:30
150756424	02:00
150052761	20:43
150760259	11:56
150760453	16:20
150760629	17:00
150052937	20:31
150763673	13:30
150053189	00:29
150053208	00:05
150053468	02:45
150053474	20:30
150768689	18:00
150053731	11:30
150053731	11:30
150053731	11:30
150053747	08:15
150771723	18:30
150772317	07:15
150053957	10:34
150054002	03:30
150054018	00:01
150054024	10:00
150775446	06:40
150054234	12:29
150054240	13:50
150367714	11:26
150777884	20:57
150054535	13:52
150054535	13:52
150054999	15:10
150055226	18:00
150055226	18:00
150055505	21:05
150055527	21:30
150055527	21:30
150055737	23:01
150056020	01:50
150056070	02:35
150056070	02:35
150376969	19:13
150785865	15:50
150790325	22:44
150383168	19:00
150791919	15:09
150056183	04:29
150056199	23:00
150056478	00:30
150056484	20:00
150056876	09:55
150056882	15:00
150798432	14:35
150057125	13:08
150057131	10:00
150057153	13:00
150057169	12:00
150392357	00:10
150800225	23:30
150057313	14:10
150057313	14:10
150057329	13:30
150057335	17:00
150057476	15:27
150057874	16:51
150058098	19:00
150058399	03:00
150058690	21:45
150058703	22:00
150058719	16:00
150058719	16:00
150058731	02:00
150405916	16:00
150811595	20:15
150408437	01:04
150814094	17:25
150814561	02:21
150058872	23:15
150058935	22:00
150411468	16:00
150816830	16:58
150059024	00:30
150818450	03:00
150059262	06:30
150417494	23:30
150821936	08:00
150823857	19:56
150424596	23:30
150828603	20:00
150424900	02:17
150828794	13:30
150830636	21:00
150427772	23:28
150831628	11:35
150059563	09:30
150059604	09:54
150059814	10:30
150060281	13:19
150060639	16:00
150835880	08:00
150060930	13:56
150061013	16:00
150061308	16:40
150061643	19:25
150061643	19:25
150061966	07:50
150061988	19:15
150837864	09:40
150062221	22:19
150062469	23:35
150062481	00:40
150062748	08:00
150062754	07:00
150062776	12:00
150062867	08:00
150063097	09:05
150844411	22:15
150063520	08:24
150063906	12:00
150063906	12:00
150063912	11:43
150063940	09:00
150448518	21:00
150848714	23:00
150450137	16:49
150850195	12:30
150064089	12:05
150064089	12:05
150064095	15:00
150064108	12:42
150064437	14:45
150064459	16:45
150064506	15:45
150064716	17:27
150064722	16:45
150453432	17:05
